path,difficulty_group,num_qubits,total_ops,entangling_ops,graph_density,swap_count,leading_one_qubit_ops,estimated_band,exact_baseline,first_action,best_method_id,best_method_name,best_score,mps_score,tno_score,mpo_unswapping_score
challenges/easy/challenge-16_12.qasm,easy,16,291,137,0.5083,8,8,exact-friendly,recommended,Exact statevector baseline,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,48,48,32,17
challenges/easy/challenge-24_13.qasm,easy,24,550,211,0.2428,5,11,exact-friendly,recommended,Exact statevector baseline,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,76,76,54,7
challenges/easy/challenge-32_14.qasm,easy,32,875,333,0.2298,3,14,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,71,35
challenges/easy/challenge-36_15.qasm,easy,36,1752,393,0.281,0,70,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,66,57
challenges/easy/challenge-40_16.qasm,easy,40,969,366,0.1744,5,10,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,71,35
challenges/easy/challenge-40_17.qasm,easy,40,779,338,0.1615,12,17,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,51,35
challenges/easy/challenge-40_18.qasm,easy,40,1328,516,0.2423,1,14,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,70,35
challenges/easy/challenge-48_19.qasm,easy,48,901,356,0.109,0,12,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,78,31
challenges/easy/challenge-48_20.qasm,easy,48,917,328,0.1099,1,16,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,69,35
challenges/easy/challenge-48_21.qasm,easy,48,1103,448,0.1472,4,3,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,70,35
challenges/easy/challenge-56_22.qasm,easy,56,702,299,0.0734,0,6,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,81,31
challenges/easy/challenge-56_23.qasm,easy,56,1746,686,0.1552,2,14,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,70,47
challenges/easy/challenge-56_24.qasm,easy,56,1418,537,0.137,1,11,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,71,35
challenges/easy/challenge-64_25.qasm,easy,64,1706,704,0.126,0,28,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,82,43
challenges/easy/challenge-64_26.qasm,easy,64,1854,711,0.127,0,33,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,79,43
challenges/easy/challenge-8_11.qasm,easy,8,117,38,0.4286,2,4,exact-friendly,recommended,Exact statevector baseline,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,76,76,51,17
challenges/hard/challenge-40_35.qasm,hard,40,2950,1193,0.4923,0,18,simulation-heavy,not-first-choice,Tensor Network Operator midpoint contraction,tno_contraction,Tensor Network Operator midpoint contraction,74,44,74,65
challenges/hard/challenge-48_36.qasm,hard,48,2805,1150,0.3555,5,14,simulation-heavy,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,69,68,55,69
challenges/hard/challenge-48_37.qasm,hard,48,3505,1481,0.4131,0,18,simulation-heavy,not-first-choice,Tensor Network Operator midpoint contraction,tno_contraction,Tensor Network Operator midpoint contraction,74,72,74,65
challenges/hard/challenge-56_38.qasm,hard,56,5939,2759,0.5409,0,29,simulation-heavy,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,83,44,75,83
challenges/hard/challenge-56_39.qasm,hard,56,2783,1145,0.2429,2,7,simulation-heavy,not-first-choice,Tensor Network Operator midpoint contraction,tno_contraction,Tensor Network Operator midpoint contraction,79,68,79,47
challenges/hard/challenge-64_40.qasm,hard,64,3758,1573,0.3011,0,31,simulation-heavy,not-first-choice,Tensor Network Operator midpoint contraction,tno_contraction,Tensor Network Operator midpoint contraction,89,72,89,43
challenges/hard/challenge-64_41.qasm,hard,64,3428,1428,0.2396,0,37,simulation-heavy,not-first-choice,Tensor Network Operator midpoint contraction,tno_contraction,Tensor Network Operator midpoint contraction,91,72,91,43
challenges/moderate/challenge-16_28.qasm,moderate,16,1670,693,0.925,0,4,exact-friendly,recommended,Exact statevector baseline,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,52,52,43,49
challenges/moderate/challenge-24_29.qasm,moderate,24,3086,1270,0.8696,3,4,hard or very-hard,recommended,Exact statevector baseline,mpo_unswapping,MPO iterative cancellation with unswapping,43,40,32,43
challenges/moderate/challenge-32_30.qasm,moderate,32,1977,806,0.504,5,21,simulation-heavy,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,58,58,38,57
challenges/moderate/challenge-48_31.qasm,moderate,48,1265,542,0.1879,11,7,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,53,35
challenges/moderate/challenge-48_32.qasm,moderate,48,1790,723,0.227,5,11,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,72,47
challenges/moderate/challenge-56_33.qasm,moderate,56,1510,675,0.163,0,6,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,82,43
challenges/moderate/challenge-64_34.qasm,moderate,64,1948,764,0.1518,3,7,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,71,47
challenges/moderate/challenge-8_27.qasm,moderate,8,459,173,0.9286,5,8,exact-friendly,recommended,Exact statevector baseline,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,48,48,3,45
challenges/very easy/challenge-16_2.qasm,very_easy,16,308,125,0.35,1,1,exact-friendly,recommended,Exact statevector baseline,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,76,76,68,17
challenges/very easy/challenge-24_3.qasm,very_easy,24,363,131,0.1993,5,13,exact-friendly,recommended,Exact statevector baseline,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,76,76,48,7
challenges/very easy/challenge-28_4.qasm,very_easy,28,1220,278,0.336,0,68,exact-friendly,possible,"Exact if memory allows, then compare paper methods",low_bond_mps_distillation,Low-bond MPS with bitstring distillation,80,80,67,17
challenges/very easy/challenge-32_5.qasm,very_easy,32,773,314,0.2137,7,0,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,49,35
challenges/very easy/challenge-36_6.qasm,very_easy,36,426,94,0.0714,0,52,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,65,45
challenges/very easy/challenge-40_7.qasm,very_easy,40,211,59,0.0346,0,15,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,76,23
challenges/very easy/challenge-48_8.qasm,very_easy,48,227,84,0.0293,0,10,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,90,90,77,23
challenges/very easy/challenge-56_9.qasm,very_easy,56,317,100,0.0247,6,13,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,67,27
challenges/very easy/challenge-64_10.qasm,very_easy,64,313,95,0.0193,4,20,light or moderate,not-first-choice,Low-bond MPS with bitstring distillation,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,86,86,66,27
challenges/very easy/challenge-8_1.qasm,very_easy,8,46,15,0.2143,1,1,exact-friendly,recommended,Exact statevector baseline,low_bond_mps_distillation,Low-bond MPS with bitstring distillation,76,76,64,0
challenges/very_hard/challenge-104_49.qasm,very_hard,104,26361,5406,0.424,0,211,hard or very-hard,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,100,0,29,100
challenges/very_hard/challenge-48_42.qasm,very_hard,48,20733,4221,0.9504,0,125,obfuscation-heavy,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,100,0,4,100
challenges/very_hard/challenge-56_43.qasm,very_hard,56,23004,4684,0.8792,0,115,obfuscation-heavy,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,100,0,4,100
challenges/very_hard/challenge-64_44.qasm,very_hard,64,28787,5844,0.8646,0,140,obfuscation-heavy,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,100,0,4,100
challenges/very_hard/challenge-72_45.qasm,very_hard,72,28777,5852,0.7559,0,166,obfuscation-heavy,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,100,0,5,100
challenges/very_hard/challenge-80_46.qasm,very_hard,80,34586,7030,0.7475,0,176,obfuscation-heavy,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,100,0,5,100
challenges/very_hard/challenge-88_47.qasm,very_hard,88,37660,7654,0.6975,0,142,obfuscation-heavy,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,100,0,3,100
challenges/very_hard/challenge-96_48.qasm,very_hard,96,28703,5866,0.5164,0,197,hard or very-hard,not-first-choice,MPO iterative cancellation with unswapping,mpo_unswapping,MPO iterative cancellation with unswapping,100,0,29,100
