difficulty_a,difficulty_b,pair_count,mean_op_5gram_cosine,min,p25,median,p75,max
very easy,very easy,45,0.56365452,0.27663064,0.49462970,0.56776800,0.62556805,0.84275169
very easy,easy,160,0.61429050,0.27224468,0.52176567,0.60565154,0.72135165,0.89716424
very easy,moderate,80,0.61642853,0.34947999,0.50545557,0.61241362,0.70407793,0.87533494
very easy,hard,70,0.59472793,0.27371680,0.51140818,0.58833241,0.68771442,0.85030006
very easy,very_hard,80,0.54156149,0.18335830,0.41747997,0.53112198,0.61338872,0.90702374
easy,easy,120,0.73643949,0.34542275,0.61612405,0.78175446,0.84012121,0.92117794
easy,moderate,128,0.74753971,0.38580937,0.68369950,0.77256149,0.84348113,0.92343343
easy,hard,112,0.72959839,0.34871254,0.65542341,0.75411639,0.82385261,0.88971706
easy,very_hard,128,0.50439185,0.26791000,0.46954772,0.49624505,0.53320261,0.92760016
moderate,moderate,28,0.79915193,0.59114891,0.71777213,0.81743228,0.86959520,0.95513086
moderate,hard,56,0.83589074,0.65808374,0.77932160,0.84233957,0.91538389,0.95934857
moderate,very_hard,64,0.45387809,0.35474265,0.41214604,0.45938173,0.47687737,0.53978419
hard,hard,21,0.89528601,0.78685428,0.87048332,0.90404406,0.94055390,0.95718957
hard,very_hard,56,0.45294755,0.30640642,0.40439764,0.47725013,0.49113565,0.51614625
very_hard,very_hard,28,0.96979478,0.90747899,0.92314473,0.99120191,0.99498077,0.99618471
