challenge	difficulty	qubits	selected_bitstring	selected_method	validation	top_fraction	evidence_count	status
8_1	very easy	8	10101101	exact_statevector	exact	0.9126378477396644	2	selected
16_2	very easy	16	1010101011001000	exact_statevector	exact	0.46696962421756005	2	selected
24_3	very easy	24	011110010000101010001000	exact_statevector	exact	0.7239837426523221	2	selected
28_4	very easy	28	1111111000101010110110011111	exact_statevector	exact	0.3511118993870582	2	selected
32_5	very easy	32	00111000101010100001000000010000	quimb_cpu_all	unknown	0.5322265625	1	selected
36_6	very easy	36	100110100111101001001101110011001000	quimb_cpu_all	unknown	0.6884765625	1	selected
40_7	very easy	40	0110111011010001010011111110010011000111	quimb_cpu_all	unknown	0.87890625	1	selected
48_8	very easy	48	000100100110111001001111111100101011001110010100	quimb_cpu_all	unknown	0.697265625	1	selected
56_9	very easy	56	10010110101100101110100110010110011101100110001101010100	quimb_cpu_all	unknown	0.78125	1	selected
64_10	very easy	64	0011010010110001110010111001100100101100010111110110010100101011	quimb_cpu_all	unknown	0.787109375	1	selected
8_11	easy	8	01001110	exact_statevector	exact	0.5454480750007801	4	selected
16_12	easy	16	1111000101101011	exact_statevector	exact	0.46653673211917734	4	selected
24_13	easy	24	111110011111001011010001	exact_statevector	exact	0.5912482860105316	3	selected
32_14	easy	32	00000101001101000001011111101100	quimb_gpu_all	unknown	0.4716796875	3	selected
36_15	easy	36	110110011011111111011001011110101111	quimb_gpu_all	unknown	0.03125	3	selected
40_16	easy	40	0101110101001110011000111011100110010110	quimb_gpu_all	unknown	0.4423828125	4	selected
40_17	easy	40	0010010101010111001001000010001000001001	quimb_gpu_all	unknown	0.5458984375	4	selected
40_18	easy	40	0100000110010010001101111000111111001110	quimb_gpu_all	unknown	0.439453125	3	selected
48_19	easy	48	011001010111101100111110000001011101001110010000	quimb_gpu_all	unknown	0.673828125	2	selected
48_20	easy	48	101010100101001010000110101000001011110010000000	quimb_gpu_all	unknown	0.6123046875	3	selected
48_21	easy	48	111010101110101011110101000001101000100000001001	quimb_gpu_all	unknown	0.44140625	3	selected
56_22	easy	56	11100100100110010011110010110110011000000100010111111011	quimb_gpu_all	unknown	0.58984375	2	selected
56_23	easy	56	01001101001111111100000101001110111011100011111100001101	quimb_gpu_all	unknown	0.4970703125	2	selected
56_24	easy	56	10011001001111101111111011101011101101010011001011110001	quimb_gpu_all	unknown	0.517578125	4	selected
64_25	easy	64	0011101111110000110110111101011000010000010100110111000001111011	quimb_gpu_all	unknown	0.396484375	4	selected
64_26	easy	64	0110101010100011010111011000011100010110110110011100011001100110	quimb_gpu_all	unknown	0.26171875	3	selected
8_27	moderate	8	11001001	exact_statevector	exact	0.2879073385472982	2	selected
16_28	moderate	16	1101001111011100	exact_statevector	exact	0.3962059348034266	6	selected
24_29	moderate	24	110100010111100001001001	exact_statevector	exact	0.3900966376778103	4	selected
32_30	moderate	32	10011000010011110111101111010111	quimb_cpu_all	unknown	0.1357421875	2	selected
48_31	moderate	48	101100111000101011111111101010111011011000110110	quimb_cpu_all	unknown	0.4208984375	2	selected
48_32	moderate	48	011101010111011110001110010101010101101110001110	quimb_cpu_all	unknown	0.265625	2	selected
56_33	moderate	56	11001001100101001111010100100010010101111111011101010000	quimb_cpu_all	unknown	0.041015625	2	selected
64_34	moderate	64	0011010100010011001110101110100101001011001011011001111011100110	quimb_cpu_all	unknown	0.1630859375	2	selected
40_35	hard	40	0101100110101111111000010101001110001001	quimb_gpu_all	unknown	0.001953125	3	selected
48_36	hard	48	001111011011001100110011001000101001101010111000	quimb_gpu_all	unknown	0.0078125	3	selected
48_37	hard	48	100101001010001101010100100101001001000101010001	quimb_gpu_all	unknown	0.0009765625	3	selected
56_38	hard	56	10011001011110000000010011010101100001001001110110110001	quimb_rcm_cpu	unknown	0.001953125	1	selected
56_39	hard	56	10010111001101010101111111010110110110110000101001010000	quimb_gpu_all	unknown	0.001953125	3	selected
64_40	hard	64	1011010011100010110100000000110000111001111010100100110100001100	peaked_mpo_unswap_gpu	unknown	0.001	1	selected
64_41	hard	64	0001000111010011100110010011110111000000100011010001101010110010	aer_mps_pilot	unstable_top1_vs_aggregate	0.167	1	selected
48_42	very_hard	48					0	blank
56_43	very_hard	56					0	blank
64_44	very_hard	64					0	blank
72_45	very_hard	72					0	blank
80_46	very_hard	80					0	blank
88_47	very_hard	88					0	blank
96_48	very_hard	96					0	blank
104_49	very_hard	104					0	blank
